rank,name,genre,country,formed,split,fans,band_link,img_link
242,Novembers Doom,"death doom, melodic death",USA,1989,-,377,band.php?band_id=402,../images/bands/402.jpg
243,Bruce Dickinson,"hard rock, heavy",United Kingdom,1989,-,376,band.php?band_id=56,../images/bands/56.jpg
244,Falkenbach,"black, viking folk, folk",Germany,1989,-,375,band.php?band_id=398,../images/bands/398.jpg
245,Blut Aus Nord,"atmospheric black, industrial",France,1994,-,372,band.php?band_id=577,../images/bands/577.jpg
246,Dethklok,melodic death,USA,2006,-,368,band.php?band_id=6662,../images/bands/6662.jpg
247,Rob Zombie,"alternative, industrial",USA,1998,-,368,band.php?band_id=1906,../images/bands/1906.jpg
248,Marilyn Manson,"industrial rock, alternative, industrial, glam rock, alternative rock",USA,1989,-,367,band.php?band_id=6352,../images/bands/6352.jpg
249,Melechesh,"melodic black, folk","Israel, The Netherlands",1993,-,365,band.php?band_id=164,../images/bands/164.jpg
250,Shape Of Despair,funeral doom,Finland,1995,-,365,band.php?band_id=327,../images/bands/327.jpg
251,Ahab,funeral doom,Germany,2004,-,362,band.php?band_id=2139,../images/bands/2139.jpg
252,Graveworm,"gothic, symphonic black",Italy,1992,-,362,band.php?band_id=225,../images/bands/225.jpg
253,Woods Of Ypres,"melodic black, doom, gothic doom",Canada,2002,2011,358,band.php?band_id=605,../images/bands/605.jpg
254,Warbringer,thrash,USA,2004,-,355,band.php?band_id=2678,../images/bands/2678.jpg
255,Lacrimosa,"gothic, symphonic",Germany,1990,-,353,band.php?band_id=145,../images/bands/145.jpg
256,Rage,heavy,Germany,1986,-,351,band.php?band_id=14,../images/bands/14.jpg
257,Green Carnation,"death, gothic, progressive",Norway,1990,-,349,band.php?band_id=237,../images/bands/237.jpg
258,Gorguts,"death, technical death, avantgarde",Canada,1989,-,348,band.php?band_id=581,../images/bands/581.jpg
259,Myrath,"progressive, oriental folk","Tunisia, France",2001,-,346,band.php?band_id=2602,../images/bands/2602.jpg
260,Dark Moor,symphonic power,Spain,1994,-,345,band.php?band_id=255,../images/bands/255.jpg
261,Kyuss,"stoner, stoner rock",USA,1988,1995,341,band.php?band_id=494,../images/bands/494.jpg
262,HIM,suomi,Finland,1991,2017,340,band.php?band_id=126,../images/bands/126.jpg
263,Tarja,symphonic,Finland,2004,-,340,band.php?band_id=2050,../images/bands/2050.jpg
264,Sylosis,"melodic death, progressive thrash",United Kingdom,2000,-,339,band.php?band_id=4140,../images/bands/4140.jpg
265,Yngwie Malmsteen,neoclassical power,Sweden,1978,-,339,band.php?band_id=8,../images/bands/8.jpg
